projecto;descrição;distrito;setor;aumento das emissões esperadas (se disponíveis);proprietários
Gasoduto Celorico - Vale de Frades;;Bragança;Energia;;" REN Gasodutos, S.A.;  ENAGAS, S.A."
Expansão do Aeroporto da Portela;;Lisboa;Transportes - aviação;2022 - Portela (pós expansão): 3.58 Mt de emissões directas de CO 2 e 6,80 Mt de CO 2 -eq.;VINCI Airports (ANA)
Novo Aeroporto (Montijo ou outro lugar);;;Transportes - aviação;Montijo: 0,66 Mt de emissões directas de CO 2 e 1,26 Mt de CO 2 -eq;VINCI Airports (ANA)
Expansão do Terminal XXI do Porto de Sines - Fase 3 e 4;;Setúbal;Transportes - navegação;;PSA Sines (Private) e a Administração do Porto de Sines (APS) (Public/State)
Túneis de drenagem de Lisboa;;Lisboa;Construção;;Consórcio que integra Mota-Engil e SPIE Batignolles
Nova Central de Biomassa Florestal em Mortágua (segunda no local);;Viseu;Energia;;Bioelétrica da Foz, S.A. - Grupo Altri
Aprofundamento da Barra, Canal de Acesso e Bacia de Manobras do Porto da Figueira da Foz;;Coimbra;Transportes - navegação;;Administração do Porto da Figueira da Foz, S.A.
Ampliação da Pedreira de Monte Chãos;Objectivo de fornecer agregados para as obras no porto de Sines;Setúbal;Extração;;Administração dos Portos de Sines e do Algarve, S. A.
22 áreas para prospeção de lítio e outros minerais;;;Extração;;Fortescue Metals Group
Novo Terminal de Contentores do Porto de Leixões;;Porto;Transportes - navegação;;APDL –Administração dos Portos do Douro, Leixões e Viana do Castelo, S.A
Prolongamento do Quebra-Mar Exterior e das Acessibilidades Marítimas do Porto de Leixões;;Porto;Transportes - navegação;;APDL –Administração dos Portos do Douro, Leixões e Viana do Castelo, S.A
