rank;unidade;local;distrito;emissões (t CO2eq);emissões (t GAS);proprietário-operador;empresa;setor;comentários;percentagem emissões territoriais;ano
1;Central Termoeléctrica Sines;Sines;Setúbal;8440230;8 400 000 t CO2 + 135 t N2O;EDP - Gestão da Produção de Energia, S.A.;EDP;Energia - Centrais térmicas e outras instalações de combustão;"Tecnologia: Caldeira + Turbina a Vapor; Combústivel: HU + FO";12.39933892;2017
2;Central Termoeléctrica do Pego;Pego, Abrantes;Santarém;3767939.6;3 750 000 t CO2 + 60.2 t N2O;"Tejo Energia: joint venture entre TrustEnergy (que por sua vez é uma joint-venture (50%/50%) entre a ENGIE e a Marubeni) (56,25) e Endesa Generación (43,75); Pegop; Carbo Pego";Tejo Energia;Energia - Centrais térmicas e outras instalações de combustão;;5.535389452;2017
3;Refinaria de Sines;Sines;Setúbal;2359050;;Petróleos de Portugal - Petrogal S.A. → Empresa do Grupo Galp Energia;Galp Energia;Energia - Refinarias de petróleo e gás mineral;os valores não contabilizam emissões fugitivas;3.465623623;2018
4;Central de Ciclo Combinado da Tapada do Outeiro;Medas, Gondomar;Porto;1501817;1 501 817 t CO2;Turbogás - Produtora Energética, S.A. → TrustEnergy;TrustEnergy;Energia - Centrais térmicas e outras instalações de combustão;"Tecnologia: Caldeira + Turbina a Vapor; Combústivel: LEN + FO Combustível: GN, GPL; Potência 990 (3x330) Mwe: Tecnologia: Ciclo Combinado";2.206283238;2018
5;Complexo Industrial de Setúbal da Navigator;Mitrena;Setúbal;1382337.2;"1 370 000 t CO2 + 41.4 t N2O  ";Navigator Pulp Setúbal, S.A. → The Navigator Company;The Navigator Company;Papel;"Fabrico de pasta de papel, papel e cartão; É composto por uma fábrica de pasta e duas de papel, uma das quais, denominada “About the Future” (as emissões desta última unidade poderão estar englobadas neste valor e são apresentadas numa entrada desta lista)";2.030758337;2017
6;Central Termoeléctrica de Lares;Vila Verde, Figueira da Foz;Coimbra;1245769;;EDP - Gestão da Produção de Energia, S.A.;"EDP ";Energia - Centrais térmicas e outras instalações de combustão;"Tecnologia: Ciclo Combinado; Combustível: GN + GO";1.830129279;2019
7;Refinaria de Matosinhos;Matosinhos;Porto;1034009;973 217 t CO2 + 204t N2O;Petróleos de Portugal - Petrogal S.A. → Empresa do Grupo Galp Energia;Petrogal S.A.;Energia - Refinarias de petróleo e gás mineral;os valores não contabilizam emissões fugitivas;1.519037755;2017
8;Carnes Landeiro, S.A;Silveiros, Barcelos;Braga;963347.4;957 000 t CO2 + 21.3t N2O;Carnes Landeiro, S.A;Carnes Landeiro, S.A;Carnes;"a empresa dispõe de duas linhas de abate: bovinos e suínos; possui também linhas de desmancha e de desossa de suínos e bovinos e de transformação";1.415230498;2017
9;CIMPOR - Centro de Produção de Alhandra;Alhandra, Vila Franca de Xira;Lisboa;940174;;CIMPOR Portugal SGPS S.A. → OYAK Cement Group;CIMPOR;Construção;"Instalações para a produção de cimento clínquer em fornos rotativos;  Exploração da Pedreira do Bom Jesus (calcário)";1.381187013;2018
10;Complexo Industrial de Cacia – Navigator;Cacia;Aveiro;884271.2;877 000 t CO2 + 24.4 t N2O;Navigator Pulp Cacia, S.A. → The Navigator Company;The Navigator Company;Papel;"A sua produção atinge um volume anual na ordem das 320 mil toneladas de pasta branqueada de eucalipto, direccionadas para a transformação em papéis especiais como décor, filtros, cigarros e tissues de alta qualidade. Integra também uma central de cogeração a biomassa associada à fábrica de pasta e uma central termoelectrica de biomassa para a produção de energia renovável; Os valores no ETS 2018 são diferentes dos valores no PRTR";1.299061554;2017
