country;eu;europe;unleaded_95_eur;diesel_eur;lpg_eur;lpg_nozzle;lpg_stations;record_date;currency;unleaded_95_local_price;diesel_local_price;lpg_local_price
Albania;No;Yes;1.4105403992670733;1.3859379504426477;0.5904587717862168;Dish;70;January 2, 2020;ALL;172.0;169.0;72.0
Algeria;No;No;0.16972137480231309;0.10288419622972075;0.06758815810711583;Unknown;Unknown;January 2, 2020;DZD;22.6;13.7;9.0
Andorra;No;Yes;1.1640000000000001;1.054;;Unknown;1;January 2, 2020;EUR;1.1640000000000001;1.054;
Armenia;No;Yes;0.9544495555883559;0.8983054640831585;;Unknown;Unknown;January 2, 2020;AMD;510.0;480.0;
Austria;Yes;Yes;1.169;1.155;0.779;Dish;26;January 2, 2020;EUR;1.169;1.155;0.779
Belarus;No;Yes;0.7347747660506876;0.7347747660506876;0.3865000214486276;Unknown;39;January 2, 2020;BYN;1.73;1.73;0.91
Belgium;Yes;Yes;1.558;1.59;0.575;Acme;615;January 2, 2020;EUR;1.558;1.59;0.575
Bosnia and Herzegovina;No;Yes;0.8718720316198924;0.7953920288462176;0.4384853492357353;Dish;9;January 2, 2020;BAM;1.71;1.56;0.86
Bulgaria;Yes;Yes;1.1351347205497735;1.1658140373213888;0.485755848883912;Dish;3000;January 2, 2020;BGN;2.22;2.28;0.95
Croatia;Yes;Yes;1.4021189993436634;1.3846596631449395;0.6715129307201453;Dish;200;January 2, 2020;HRK;10.44;10.31;5.0
Cyprus;Yes;Yes;1.079;1.172;;Unknown;Unknown;January 2, 2020;EUR;1.079;1.172;
Czech Republic;Yes;Yes;1.1793865478065915;1.1793865478065915;0.5088323233011716;Dish;800;January 2, 2020;CZK;29.9;29.9;12.9
Denmark;Yes;Yes;1.6980770782476327;1.5241211915871187;;Dish;34;January 2, 2020;DKK;12.69;11.39;
Egypt;No;No;0.4216595391311501;0.30716920069156634;;Unknown;Unknown;January 2, 2020;EGP;7.55;5.5;
Estonia;Yes;Yes;1.317;1.317;0.519;Dish;50;January 2, 2020;EUR;1.317;1.317;0.519
Finland;Yes;Yes;1.517;1.413;;None;None;January 2, 2020;EUR;1.517;1.413;
France;Yes;Yes;1.54;1.485;0.8740000000000001;Dish;1800;January 2, 2020;EUR;1.54;1.485;0.8740000000000001
Georgia;No;Yes;0.6233878844721283;0.6077248722994617;;Unknown;Unknown;January 2, 2020;GEL;1.99;1.94;
Germany;Yes;Yes;1.429;1.2990000000000002;0.629;Acme;6527;January 2, 2020;EUR;1.429;1.2990000000000002;0.629
