Name;Coordinates;Latitude;Longitude
Almaraz Nuclear Power Station;-5.69694444444445,39.8080555555556,0;39.8080555555556;-5.69694444444445
Angra Nuclear Power Station;-44.4738888888889,-23.0083333333333,0;-23.0083333333333;-44.4738888888889
Arkansas Nuclear One;-93.2313888888889,35.3102777777778,0;35.3102777777778;-93.2313888888889
Ascó Nuclear Power Station;0.569444444444444,41.2,0;41.2;0.569444444444444
Atucha Nuclear Power Station;-59.205,-33.9675,0;-33.9675;-59.205
Balakovo Nuclear Power Station;47.9552777777778,52.0911111111111,0;52.0911111111111;47.9552777777778
Beaver Valley Nuclear Power Station;-80.4305555555556,40.6233333333333,0;40.6233333333333;-80.4305555555556
Belleville Nuclear Power Plant;2.875,47.5097222222222,0;47.5097222222222;2.875
Beloyarsk Nuclear Power Station;61.3225,56.8416666666667,0;56.8416666666667;61.3225
Blayais Nuclear Power Plant;-0.693055555555556,45.2558333333333,0;45.2558333333333;-0.693055555555556
Braidwood Nuclear Power Station;-88.2291666666667,41.2436111111111,0;41.2436111111111;-88.2291666666667
Brokdorf Nuclear Power Station;9.34472222222222,53.8508333333333,0;53.8508333333333;9.34472222222222
Browns Ferry Nuclear Power Station;-87.1186111111111,34.7038888888889,0;34.7038888888889;-87.1186111111111
Bruce Nuclear Generating Station;-81.5994444444444,44.3252777777778,0;44.3252777777778;-81.5994444444444
Brunswick Nuclear Generating Station;-78.0102777777778,33.9583333333333,0;33.9583333333333;-78.0102777777778
Bugey Nuclear Power Station;5.27083333333333,45.8,0;45.8;5.27083333333333
Byron Nuclear Generating Station;-89.2819444444444,42.0741666666667,0;42.0741666666667;-89.2819444444444
Callaway Plant;-91.78,38.7616666666667,0;38.7616666666667;-91.78
Calvert Cliffs Nuclear Power Station;-76.4422222222222,38.4319444444444,0;38.4319444444444;-76.4422222222222
Catawba Nuclear Station;-81.07,35.0516666666667,0;35.0516666666667;-81.07
Cattenom Nuclear Power Station;6.21805555555556,49.4158333333333,0;49.4158333333333;6.21805555555556
Cernavoda Nuclear Power Station;28.0572222222222,44.3222222222222,0;44.3222222222222;28.0572222222222
Changjiang Nuclear Power Plant;108.8125,19.4230555555556,0;19.4230555555556;108.8125
Chashma Nuclear Power Plant;71.4625,32.3902777777778,0;32.3902777777778;71.4625
Chinon Nuclear Power Station;0.170555555555556,47.2305555555556,0;47.2305555555556;0.170555555555556
Chooz Nuclear Power Station;4.78944444444444,50.09,0;50.09;4.78944444444444
Civaux Nuclear Power Station;0.652777777777778,46.4566666666667,0;46.4566666666667;0.652777777777778
Clinton Nuclear Generating Station;-88.835,40.1722222222222,0;40.1722222222222;-88.835
Cofrentes Nuclear Power Station;-1.05,39.2166666666667,0;39.2166666666667;-1.05
Columbia Nuclear Power Station;-119.333888888889,46.4711111111111,0;46.4711111111111;-119.333888888889
Comanche Peak Nuclear Power Station;-97.785,32.2983333333333,0;32.2983333333333;-97.785
