name;short_name;country;units;capacity;coordinates;latitude;longitude;coordinates_dms;status;notes
Almaraz Nuclear Power Station;Almaraz;Spain;2;2017;-5.69694444444445,39.8080555555556,0;39.80805556;-5.696944444;39°48′29″N 05°41′49″W;in service;
Angra Nuclear Power Station;Angra;Brazil;2;1884;-44.4738888888889,-23.0083333333333,0;-23.00833333;-44.47388889;23°00′30″S 44°28′26″W;in service; 1,245 MW reactor under construction
Arkansas Nuclear One;ANO;United States;2;1839;-93.2313888888889,35.3102777777778,0;35.31027778;-93.23138889;35°18′37″N 93°13′53″W;in service;
Ascó Nuclear Power Station;Ascó;Spain;2;1992;0.569444444444444,41.2,0;41.2;0.569444444;41°12′00″N 00°34′10″E;in service;
Atucha Nuclear Power Station;Atucha;Argentina;2;1027;-59.205,-33.9675,0;-33.9675;-59.205;33°58′3″S 59°12′18″W;in service;
Balakovo Nuclear Power Station;Balakovo;Russia;4;3800;47.9552777777778,52.0911111111111,0;52.09111111;47.95527778;52°05′28″N 47°57′19″E;in service;
Beaver Valley Nuclear Power Station;Beaver Valley;United States;2;1738;-80.4305555555556,40.6233333333333,0;40.62333333;-80.43055556;40°37′24″N 80°25′50″W;in service;
Belleville Nuclear Power Plant;Belleville;France;2;2620;2.875,47.5097222222222,0;47.50972222;2.875;47°30′35″N 02°52′30″E;in service;
Beloyarsk Nuclear Power Station;Beloyarsk;Russia;4;1597;61.3225,56.8416666666667,0;56.84166667;61.3225;56°50′30″N 61°19′21″E;in service;
Blayais Nuclear Power Plant;Blayais;France;4;3640;-0.693055555555556,45.2558333333333,0;45.25583333;-0.693055556;45°15′21″N 00°41′35″W;in service;
Braidwood Nuclear Power Station;Braidwood;United States;2;2330;-88.2291666666667,41.2436111111111,0;41.24361111;-88.22916667;41°14′37″N 88°13′45″W;in service;
Brokdorf Nuclear Power Station;Brokdorf;Germany;1;1410;9.34472222222222,53.8508333333333,0;53.85083333;9.344722222;53°51′03″N 09°20′41″E;in service;
Browns Ferry Nuclear Power Station;Browns Ferry;United States;3;3300;-87.1186111111111,34.7038888888889,0;34.70388889;-87.11861111;34°42′14″N 87°07′07″W;in service;
Bruce Nuclear Generating Station;Bruce;Canada;8;6384;-81.5994444444444,44.3252777777778,0;44.32527778;-81.59944444;44°19′31″N 81°35′58″W;in service;
Brunswick Nuclear Generating Station;Brunswick;United States;2;1858;-78.0102777777778,33.9583333333333,0;33.95833333;-78.01027778;33°57′30″N 78°0′37″W;in service;
